Title,Winner,Ali_File,Ali_Score,Chris_File,Chris_Score,Action,Deleted_Path,Reason
In the Tall Grass (2019),chris,,0,In the Tall Grass (2019) {tmdb-523139} - [WEBDL-1080p][EAC3 Atmos 5.1][x264].mkv,3658,COPY Chris → Ali,,Only Chris has this file
When in Rome (2010),chris,,0,When in Rome (2010) {tmdb-13477} - [Bluray-720p][DTS 5.1][x264]-CRiSC.mkv,2843,COPY Chris → Ali,,Only Chris has this file
Don Jon (2013),tie,Don Jon (2013) {tmdb-138697} - [Bluray-1080p][DTS 5.1][x264]-D-Z0N3.mkv,3912,Don Jon (2013) {tmdb-138697} - [Bluray-1080p][DTS 5.1][x264]-D-Z0N3.mkv,3912,NO ACTION (keep both),,Both versions are equal quality (3912)
She Wore a Yellow Ribbon (1949),chris,,0,She Wore a Yellow Ribbon (1949) {tmdb-13909} - [WEBDL-1080p][DTS 2.0][x264].mkv,3398,COPY Chris → Ali,,Only Chris has this file
Burn (2019),tie,Burn (2019) {tmdb-508138} - [Bluray-1080p][AC3 5.1][x264]-iFT.mkv,3806,Burn (2019) {tmdb-508138} - [Bluray-1080p][AC3 5.1][x264]-iFT.mkv,3806,NO ACTION (keep both),,Both versions are equal quality (3806)
Night of the Demons (1988),tie,Night of the Demons (1988) {tmdb-24924} - [Bluray-1080p][FLAC 2.0][DV HDR10][x265]-SQS.mkv,4221,Night of the Demons (1988) {tmdb-24924} - [Bluray-1080p][FLAC 2.0][DV HDR10][x265]-SQS.mkv,4221,NO ACTION (keep both),,Both versions are equal quality (4221)
The Twits (2025),tie,The Twits (2025) {tmdb-927254} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][DV HDR10][h265]-Kitsune.mkv,4140,The Twits (2025) {tmdb-927254} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][DV HDR10][h265]-Kitsune.mkv,4140,NO ACTION (keep both),,Both versions are equal quality (4140)
Jaws The Revenge (1987),tie,Jaws The Revenge (1987) {tmdb-580} - [Bluray-1080p][EAC3 5.1][x264]-playHD.mkv,3872,Jaws The Revenge (1987) {tmdb-580} - [Bluray-1080p][EAC3 5.1][x264]-playHD.mkv,3872,NO ACTION (keep both),,Both versions are equal quality (3872)
12 Dates of Christmas (2011),tie,12 Dates of Christmas (2011) {tmdb-81393} - [AMZN][WEBRip-1080p][EAC3 5.1][x264]-ABM.mkv,3133,12 Dates of Christmas (2011) {tmdb-81393} - [AMZN][WEBRip-1080p][EAC3 5.1][x264]-ABM.mkv,3133,NO ACTION (keep both),,Both versions are equal quality (3133)
Superhero Movie (2008),tie,Superhero Movie (2008) {tmdb-11918} - {edition-Unrated} [Bluray-1080p][DTS 5.1][x264]-de.mkv,3875,Superhero Movie (2008) {tmdb-11918} - {edition-Unrated} [Bluray-1080p][DTS 5.1][x264]-de.mkv,3875,NO ACTION (keep both),,Both versions are equal quality (3875)
The Untouchables (1987),tie,The Untouchables (1987) {tmdb-117} - [Bluray-1080p][EAC3 7.1][DV HDR10][x265]-NTb.mkv,4440,The Untouchables (1987) {tmdb-117} - [Bluray-1080p][EAC3 7.1][DV HDR10][x265]-NTb.mkv,4440,NO ACTION (keep both),,Both versions are equal quality (4440)
